series_id,year,month,date,cpi_value,footnotes
CUUR0000SA0,2021,M01,2021-01-01,261.582,
CUUR0000SA0,2021,M02,2021-02-01,263.014,
CUUR0000SA0,2021,M03,2021-03-01,264.877,
CUUR0000SA0,2021,M04,2021-04-01,267.054,
CUUR0000SA0,2021,M05,2021-05-01,269.195,
CUUR0000SA0,2021,M06,2021-06-01,271.696,
CUUR0000SA0,2021,M07,2021-07-01,273.003,
CUUR0000SA0,2021,M08,2021-08-01,273.567,
CUUR0000SA0,2021,M09,2021-09-01,274.310,
CUUR0000SA0,2021,M10,2021-10-01,276.589,
CUUR0000SA0,2021,M11,2021-11-01,277.948,
CUUR0000SA0,2021,M12,2021-12-01,278.802,
CUUR0000SA0,2022,M01,2022-01-01,281.148,
CUUR0000SA0,2022,M02,2022-02-01,283.716,
CUUR0000SA0,2022,M03,2022-03-01,287.504,
CUUR0000SA0,2022,M04,2022-04-01,289.109,
CUUR0000SA0,2022,M05,2022-05-01,292.296,
CUUR0000SA0,2022,M06,2022-06-01,296.311,
CUUR0000SA0,2022,M07,2022-07-01,296.276,
CUUR0000SA0,2022,M08,2022-08-01,296.171,
CUUR0000SA0,2022,M09,2022-09-01,296.808,
CUUR0000SA0,2022,M10,2022-10-01,298.012,
CUUR0000SA0,2022,M11,2022-11-01,297.711,
CUUR0000SA0,2022,M12,2022-12-01,296.797,
CUUR0000SA0,2023,M01,2023-01-01,299.170,
CUUR0000SA0,2023,M02,2023-02-01,300.840,
CUUR0000SA0,2023,M03,2023-03-01,301.836,
CUUR0000SA0,2023,M04,2023-04-01,303.363,
CUUR0000SA0,2023,M05,2023-05-01,304.127,
CUUR0000SA0,2023,M06,2023-06-01,305.109,
CUUR0000SA0,2023,M07,2023-07-01,305.691,
CUUR0000SA0,2023,M08,2023-08-01,307.026,
CUUR0000SA0,2023,M09,2023-09-01,307.789,
CUUR0000SA0,2023,M10,2023-10-01,307.671,
CUUR0000SA0,2023,M11,2023-11-01,307.051,
CUUR0000SA0,2023,M12,2023-12-01,306.746,
CUUR0000SA0,2024,M01,2024-01-01,308.417,
CUUR0000SA0,2024,M02,2024-02-01,310.326,
CUUR0000SA0,2024,M03,2024-03-01,312.332,
CUUR0000SA0,2024,M04,2024-04-01,313.548,
CUUR0000SA0,2024,M05,2024-05-01,314.069,
CUUR0000SA0,2024,M06,2024-06-01,314.175,
CUUR0000SA0,2024,M07,2024-07-01,314.540,
CUUR0000SA0,2024,M08,2024-08-01,314.796,
CUUR0000SA0,2024,M09,2024-09-01,315.301,
CUUR0000SA0,2024,M10,2024-10-01,315.664,
CUUR0000SA0,2024,M11,2024-11-01,315.493,
CUUR0000SA0,2024,M12,2024-12-01,315.605,
CUUR0000SA0,2025,M01,2025-01-01,317.671,
CUUR0000SA0,2025,M02,2025-02-01,319.082,
CUUR0000SA0,2025,M03,2025-03-01,319.799,
CUUR0000SA0,2025,M04,2025-04-01,320.795,
CUUR0000SA0,2025,M05,2025-05-01,321.465,
CUUR0000SA0,2025,M06,2025-06-01,322.561,
CUUR0000SA0,2025,M07,2025-07-01,323.048,
CUUR0000SA0,2025,M08,2025-08-01,323.976,
CUUR0000SA0,2025,M09,2025-09-01,324.800,
CUUR0000SA0,2025,M10,2025-10-01,-,Data unavailable due to the 2025 lapse in appropriations
CUUR0000SA0,2025,M11,2025-11-01,324.122,
CUUR0000SA0,2025,M12,2025-12-01,324.054,
CUUR0000SA0,2026,M01,2026-01-01,325.252,
CUUR0000SA0,2026,M02,2026-02-01,326.785,
CUUR0000SA0,2026,M03,2026-03-01,330.213,
CUUR0000SA0,2026,M04,2026-04-01,333.020,
