country,countryiso3code,indicator_id,indicator,date,value,factfulness_question
Brazil,BRA,EG.ELC.ACCS.ZS,Access to electricity (% of population),1990,87.475116,내 상식은 최신 데이터와 얼마나 다를까?
Brazil,BRA,EG.ELC.ACCS.ZS,Access to electricity (% of population),1991,90.6065444946289,내 상식은 최신 데이터와 얼마나 다를까?
Brazil,BRA,EG.ELC.ACCS.ZS,Access to electricity (% of population),1992,88.803833,내 상식은 최신 데이터와 얼마나 다를까?
Brazil,BRA,EG.ELC.ACCS.ZS,Access to electricity (% of population),1993,89.999927,내 상식은 최신 데이터와 얼마나 다를까?
Brazil,BRA,EG.ELC.ACCS.ZS,Access to electricity (% of population),1994,91.8837280273438,내 상식은 최신 데이터와 얼마나 다를까?
Brazil,BRA,EG.ELC.ACCS.ZS,Access to electricity (% of population),1995,91.728598,내 상식은 최신 데이터와 얼마나 다를까?
Brazil,BRA,EG.ELC.ACCS.ZS,Access to electricity (% of population),1996,92.867095,내 상식은 최신 데이터와 얼마나 다를까?
Brazil,BRA,EG.ELC.ACCS.ZS,Access to electricity (% of population),1997,93.354139,내 상식은 최신 데이터와 얼마나 다를까?
Brazil,BRA,EG.ELC.ACCS.ZS,Access to electricity (% of population),1998,94.193812,내 상식은 최신 데이터와 얼마나 다를까?
Brazil,BRA,EG.ELC.ACCS.ZS,Access to electricity (% of population),1999,94.76296,내 상식은 최신 데이터와 얼마나 다를까?
Brazil,BRA,EG.ELC.ACCS.ZS,Access to electricity (% of population),2000,94.4,내 상식은 최신 데이터와 얼마나 다를까?
Brazil,BRA,EG.ELC.ACCS.ZS,Access to electricity (% of population),2001,96,내 상식은 최신 데이터와 얼마나 다를까?
Brazil,BRA,EG.ELC.ACCS.ZS,Access to electricity (% of population),2002,96.7,내 상식은 최신 데이터와 얼마나 다를까?
Brazil,BRA,EG.ELC.ACCS.ZS,Access to electricity (% of population),2003,97,내 상식은 최신 데이터와 얼마나 다를까?
Brazil,BRA,EG.ELC.ACCS.ZS,Access to electricity (% of population),2004,96.8,내 상식은 최신 데이터와 얼마나 다를까?
Brazil,BRA,EG.ELC.ACCS.ZS,Access to electricity (% of population),2005,97.1,내 상식은 최신 데이터와 얼마나 다를까?
Brazil,BRA,EG.ELC.ACCS.ZS,Access to electricity (% of population),2006,97.6,내 상식은 최신 데이터와 얼마나 다를까?
Brazil,BRA,EG.ELC.ACCS.ZS,Access to electricity (% of population),2007,98.1,내 상식은 최신 데이터와 얼마나 다를까?
Brazil,BRA,EG.ELC.ACCS.ZS,Access to electricity (% of population),2008,98.5,내 상식은 최신 데이터와 얼마나 다를까?
