region,svg_id,wikidata_id,population,area_km2,population_density_per_km2,source
서울특별시,서울특별시,Q8684,9668465,605.25,15974.3,Wikidata SPARQL P1082/P2046
부산광역시,부산광역시,Q16520,3453198,769.83,4485.7,Wikidata SPARQL P1082/P2046
대구광역시,대구광역시,Q20927,2444412,1499.53,1630.1,Wikidata SPARQL P1082/P2046
인천광역시,인천광역시,Q20934,3049315,1046.807,2913.0,Wikidata SPARQL P1082/P2046
광주광역시,광주광역시,Q41283,1490092,501.18,2973.2,Wikidata SPARQL P1082/P2046
대전광역시,대전광역시,Q20921,1475221,539.96,2732.1,Wikidata SPARQL P1082/P2046
울산광역시,울산광역시,Q41278,1166615,1060.19,1100.4,Wikidata entity Q41278 P1082/P2046
세종특별자치시,세종특별자치시,Q20929,391984,465.0,843.0,Wikidata SPARQL P1082/P2046
경기도,경기도,Q20937,13103188,10172.07,1288.2,Wikidata SPARQL P1082/P2046
강원특별자치도,강원도,Q41071,1539274,16873.51,91.2,Wikidata SPARQL P1082/P2046
충청북도,충청북도,Q41066,1595058,7407.22,215.3,Wikidata SPARQL P1082/P2046
충청남도,충청남도,Q41070,2181416,8204.0,265.9,Wikidata SPARQL P1082/P2046
전북특별자치도,전라북도,Q41157,1769607,8067.0,219.4,Wikidata SPARQL P1082/P2046
전라남도,전라남도,Q41161,1790352,12309.03,145.5,Wikidata SPARQL P1082/P2046
경상북도,경상북도,Q41154,2546960,19029.0,133.8,Wikidata SPARQL P1082/P2046
경상남도,경상남도,Q41151,3350350,10538.0,317.9,Wikidata SPARQL P1082/P2046
제주특별자치도,제주특별자치도,Q41164,670837,1848.0,363.0,Wikidata SPARQL P1082/P2046
