objectID,title,artistDisplayName,objectDate,objectBeginDate,objectEndDate,department,culture,repository,objectURL
485308,Sunflower,Joan Mitchell,1969,1969,1969,Modern and Contemporary Art,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/485308
822590,Sunflower,Brigitte Coudrain,mid-20th century,1950,1975,Drawings and Prints,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/822590
437112,Bouquet of Sunflowers,Claude Monet,1881,1881,1881,European Paintings,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/437112
707887,Botanical dish with white sunflower,Chelsea Porcelain Manufactory,ca. 1755,1750,1760,European Sculpture and Decorative Arts,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/707887
436524,Sunflowers,Vincent van Gogh,1887,1887,1887,European Paintings,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/436524
363282,Fireplace and Grate Design with Sunflower Andirons,"Anonymous, British, 19th century",19th century,1800,1900,Drawings and Prints,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/363282
360837,Sir Anthony Van Dyck with a Sunflower,Wenceslaus Hollar,1644,1644,1644,Drawings and Prints,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/360837
210191,Vase with sunflowers,Rozenburg Plateelfabriek,1896,1896,1896,European Sculpture and Decorative Arts,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/210191
11922,Clytie,William Henry Rinehart,1869–70; carved 1872,1869,1872,The American Wing,American,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/11922
400581,"Sunflower (Helianthus annuus), from the Flowers series for Old Judge Cigarettes",Goodwin & Company,1890,1890,1890,Drawings and Prints,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/400581
816522,Flowers in a Grotesque Vase,Orsola Maddalena Caccia,ca. 1635,1630,1640,European Paintings,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/816522
20141,Plaque,Chelsea Keramic Art Works,ca. 1878–82,1875,1885,The American Wing,American,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/20141
347980,"Songs of Experience: My Pretty Rose Tree, Ah! Sun-Flower, The Lilly",William Blake,[1794] printed ca. 1825,1794,1825,Drawings and Prints,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/347980
2019,Chest with drawers,Peter Blin,1675–1700,1675,1700,The American Wing,American,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/2019
480725,Large Sunflowers,Emil Nolde,1928,1928,1928,Modern and Contemporary Art,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/480725
208554,Charger,F. Gadesden,1876,1876,1876,European Sculpture and Decorative Arts,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/208554
207869,Louis XVI,Philippe Laurent Roland,1787,1787,1787,European Sculpture and Decorative Arts,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/207869
190739,Clytie,George Frederic Watts,ca. 1868–75,1863,1875,European Sculpture and Decorative Arts,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/190739
437115,Chrysanthemums,Claude Monet,1882,1882,1882,European Paintings,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/437115
486590,Moroccan Sunflowers,Charles Baskerville,1940,1940,1940,Modern and Contemporary Art,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/486590
375281,Walk Among Sunflowers,Louis Lozowick,1957,1957,1957,Drawings and Prints,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/375281
