date,localName,name,countryCode,global,types
2021-01-01,새해,New Year's Day,KR,True,Public
2021-02-11,설날,Lunar New Year,KR,True,Public
2021-02-12,설날,Lunar New Year,KR,True,Public
2021-02-13,설날,Lunar New Year,KR,True,Public
2021-03-01,3·1절,Independence Movement Day,KR,True,Public
2021-05-05,어린이날,Children's Day,KR,True,Public
2021-05-19,부처님 오신 날,Buddha's Birthday,KR,True,Public
2021-06-06,현충일,Memorial Day,KR,True,Public
2021-07-19,제헌절,Constitution Day,KR,True,Observance
2021-08-15,광복절,Liberation Day,KR,True,Public
2021-09-20,추석,Chuseok,KR,True,Public
2021-09-21,추석,Chuseok,KR,True,Public
2021-09-22,추석,Chuseok,KR,True,Public
2021-10-03,개천절,National Foundation Day,KR,True,Public
2021-10-09,한글날,Hangul Day,KR,True,Public
2021-12-25,크리스마스,Christmas Day,KR,True,Public
2022-01-01,새해,New Year's Day,KR,True,Public
2022-01-31,설날,Lunar New Year,KR,True,Public
2022-02-01,설날,Lunar New Year,KR,True,Public
2022-02-02,설날,Lunar New Year,KR,True,Public
2022-03-01,3·1절,Independence Movement Day,KR,True,Public
2022-05-05,어린이날,Children's Day,KR,True,Public
2022-05-08,부처님 오신 날,Buddha's Birthday,KR,True,Public
2022-06-06,현충일,Memorial Day,KR,True,Public
2022-07-18,제헌절,Constitution Day,KR,True,Observance
2022-08-15,광복절,Liberation Day,KR,True,Public
2022-09-09,추석,Chuseok,KR,True,Public
2022-09-10,추석,Chuseok,KR,True,Public
2022-09-12,추석,Chuseok,KR,True,Public
2022-10-03,개천절,National Foundation Day,KR,True,Public
2022-10-10,한글날,Hangul Day,KR,True,Public
2022-12-25,크리스마스,Christmas Day,KR,True,Public
2023-01-01,새해,New Year's Day,KR,True,Public
2023-01-21,설날,Lunar New Year,KR,True,Public
2023-01-23,설날,Lunar New Year,KR,True,Public
2023-01-24,설날,Lunar New Year,KR,True,Public
2023-03-01,3·1절,Independence Movement Day,KR,True,Public
2023-05-05,어린이날,Children's Day,KR,True,Public
2023-05-27,부처님 오신 날,Buddha's Birthday,KR,True,Public
2023-06-06,현충일,Memorial Day,KR,True,Public
2023-07-17,제헌절,Constitution Day,KR,True,Observance
2023-08-15,광복절,Liberation Day,KR,True,Public
2023-09-28,추석,Chuseok,KR,True,Public
2023-09-29,추석,Chuseok,KR,True,Public
2023-09-30,추석,Chuseok,KR,True,Public
2023-10-03,개천절,National Foundation Day,KR,True,Public
2023-10-09,한글날,Hangul Day,KR,True,Public
2023-12-25,크리스마스,Christmas Day,KR,True,Public
2024-01-01,새해,New Year's Day,KR,True,Public
2024-02-09,설날,Lunar New Year,KR,True,Public
2024-02-10,설날,Lunar New Year,KR,True,Public
2024-02-12,설날,Lunar New Year,KR,True,Public
2024-03-01,3·1절,Independence Movement Day,KR,True,Public
2024-05-06,어린이날,Children's Day,KR,True,Public
2024-05-15,부처님 오신 날,Buddha's Birthday,KR,True,Public
2024-06-06,현충일,Memorial Day,KR,True,Public
2024-07-17,제헌절,Constitution Day,KR,True,Observance
2024-08-15,광복절,Liberation Day,KR,True,Public
2024-09-16,추석,Chuseok,KR,True,Public
2024-09-17,추석,Chuseok,KR,True,Public
2024-09-18,추석,Chuseok,KR,True,Public
2024-10-03,개천절,National Foundation Day,KR,True,Public
2024-10-09,한글날,Hangul Day,KR,True,Public
2024-12-25,크리스마스,Christmas Day,KR,True,Public
2025-01-01,새해,New Year's Day,KR,True,Public
2025-01-28,설날,Lunar New Year,KR,True,Public
2025-01-29,설날,Lunar New Year,KR,True,Public
2025-01-30,설날,Lunar New Year,KR,True,Public
2025-03-03,3·1절,Independence Movement Day,KR,True,Public
2025-05-05,어린이날,Children's Day,KR,True,Public
2025-05-05,부처님 오신 날,Buddha's Birthday,KR,True,Public
2025-06-06,현충일,Memorial Day,KR,True,Public
2025-07-17,제헌절,Constitution Day,KR,True,Observance
2025-08-15,광복절,Liberation Day,KR,True,Public
2025-10-03,개천절,National Foundation Day,KR,True,Public
2025-10-06,추석,Chuseok,KR,True,Public
2025-10-07,추석,Chuseok,KR,True,Public
2025-10-08,추석,Chuseok,KR,True,Public
2025-10-09,한글날,Hangul Day,KR,True,Public
2025-12-25,크리스마스,Christmas Day,KR,True,Public
2026-01-01,새해,New Year's Day,KR,True,Public
2026-02-16,설날,Lunar New Year,KR,True,Public
2026-02-17,설날,Lunar New Year,KR,True,Public
2026-02-18,설날,Lunar New Year,KR,True,Public
2026-03-02,3·1절,Independence Movement Day,KR,True,Public
2026-05-01,노동절,Labour Day,KR,True,Public
2026-05-05,어린이날,Children's Day,KR,True,Public
2026-05-24,부처님 오신 날,Buddha's Birthday,KR,True,Public
2026-06-06,현충일,Memorial Day,KR,True,Public
2026-07-17,제헌절,Constitution Day,KR,True,Public
2026-08-17,광복절,Liberation Day,KR,True,Public
2026-09-24,추석,Chuseok,KR,True,Public
2026-09-25,추석,Chuseok,KR,True,Public
2026-09-26,추석,Chuseok,KR,True,Public
2026-10-05,개천절,National Foundation Day,KR,True,Public
2026-10-09,한글날,Hangul Day,KR,True,Public
2026-12-25,크리스마스,Christmas Day,KR,True,Public
