flight_number,name,date_utc,success,status,rocket,mission_type,orbit,pad,location,details,wikipedia,webcast
5959,Falcon 9 Block 5 | SpX-DM2 (Demonstration Mission 2),2020-05-30T19:22:45Z,True,Launch Successful,Falcon 9,Test Flight,Low Earth Orbit,Launch Complex 39A,"Kennedy Space Center, FL, USA","A new era of human spaceflight is set to begin as American astronauts once again launch on an American rocket from American soil. The Demo-2 mission is the second test flight of Crew Dragon, and the first flight with crew onboard. It will carry NASA astronauts Robert Behnken and Douglas Hurley to the International Space Station for an extended stay (the specific mission duration will be determined once on station based on the readiness of the next commercial crew launch). They will perform tests on Crew Dragon in addition to conducting research and other tasks with the space station crew. As the final flight test for SpaceX, this mission will validate the company’s crew transportation system, including the launch pad, rocket, spacecraft, and operational capabilities. This also will be the first time NASA astronauts will test the spacecraft systems in orbit. The Demo-2 mission will be the final major step before NASA’s Commercial Crew Program certifies Crew Dragon for operational, long-duration missions to the space station. Current Mission Status: After a successful ride to orbit and stay at the International Space Station, the Dragon Spacecraft successfully made its way back to Earth. Capsule successfully landed in the Gulf of Mexico waters on 3rd August 2020 at 18:48 UTC.",,
5961,Falcon 9 Block 5 | Starlink 7,2020-06-04T01:25:33Z,True,Launch Successful,Falcon 9,Communications,Low Earth Orbit,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,,
5964,Falcon 9 Block 5 | Starlink 8,2020-06-13T09:21:18Z,True,Launch Successful,Falcon 9,Communications,Low Earth Orbit,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",A batch of 58 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system. This launch will also carry three SkySat Earth-imaging satellites as a rideshare for Planet.,,
5967,Falcon 9 Block 5 | GPS III SV03,2020-06-30T20:10:46Z,True,Launch Successful,Falcon 9,Navigation,Medium Earth Orbit,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA","GPS-IIIA (Global Positioning System) is the first evolution stage of the third generation of the GPS satellites. It consists of the first ten (known as ""tranche"") of GPS III satellites.",,
5976,Falcon 9 Block 5 | ANASIS-II,2020-07-20T21:30:00Z,True,Launch Successful,Falcon 9,Government/Top Secret,Geostationary Transfer Orbit,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",ANASIS-II is South Korea's first dedicated military satellite.,,
,Starship SN5 | 150m Hop,2020-08-04T23:57:00Z,True,Launch Successful,Starship Prototype,Test Flight,Suborbital,Suborbital Pad A,"SpaceX Starbase, TX, USA",The Starship SN5 first flight was a 150m 'hop' from SpaceX's South Texas Launch Site in Boca Chica Village.,,
5983,Falcon 9 Block 5 | Starlink 9,2020-08-07T05:12:00Z,True,Launch Successful,Falcon 9,Communications,Low Earth Orbit,Launch Complex 39A,"Kennedy Space Center, FL, USA",A batch of 57 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system. This launch will also carry two BlackSky Earth-imaging satellites as a rideshare.,,
5985,Falcon 9 Block 5 | Starlink 10,2020-08-18T14:31:00Z,True,Launch Successful,Falcon 9,Communications,Low Earth Orbit,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",A batch of 58 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system. This launch will also carry 3 SkySat Earth-imaging satellites as a rideshare.,,
5987,Falcon 9 Block 5 | SAOCOM 1B,2020-08-30T23:18:00Z,True,Launch Successful,Falcon 9,Communications,Sun-Synchronous Orbit,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA","The SAOCOM 1B spacecraft is the second of the two SAOCOM constellation satellites. It is tasked with hydrology and land observation, and will also operate jointly with the Italian COSMO-SkyMed constellation in X-band to provide frequent information relevant for emergency management. Two rideshare payloads are present - Tyvak-0172 and PlanetiQ’s GNOMES-1.",,
5990,Falcon 9 Block 5 | Starlink 11,2020-09-03T12:46:14Z,True,Launch Successful,Falcon 9,Communications,Low Earth Orbit,Launch Complex 39A,"Kennedy Space Center, FL, USA",A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,,
,Starship SN6 | 150m Hop,2020-09-03T17:48:00Z,True,Launch Successful,Starship Prototype,Test Flight,Suborbital,Suborbital Pad A,"SpaceX Starbase, TX, USA",The Starship SN6 prototype sucessfully performed a 150m hop similar to the one successfully performed by its predecessor SN5.,,
6000,Falcon 9 Block 5 | Starlink 12,2020-10-06T11:29:34Z,True,Launch Successful,Falcon 9,Communications,Low Earth Orbit,Launch Complex 39A,"Kennedy Space Center, FL, USA",A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,,
6003,Falcon 9 Block 5 | Starlink 13,2020-10-18T12:25:57Z,True,Launch Successful,Falcon 9,Communications,Low Earth Orbit,Launch Complex 39A,"Kennedy Space Center, FL, USA",A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,,
6004,Falcon 9 Block 5 | Starlink 14,2020-10-24T15:31:34Z,True,Launch Successful,Falcon 9,Communications,Low Earth Orbit,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,,
6008,Falcon 9 Block 5 | GPS III SV04,2020-11-05T23:24:23Z,True,Launch Successful,Falcon 9,Navigation,Medium Earth Orbit,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA","GPS-IIIA (Global Positioning System) is the first evolution stage of the third generation of the GPS satellites. It consists of the first ten (known as ""tranche"") of GPS III satellites.",,
6014,Falcon 9 Block 5 | Crew-1,2020-11-16T00:27:17Z,True,Launch Successful,Falcon 9,Human Exploration,Low Earth Orbit,Launch Complex 39A,"Kennedy Space Center, FL, USA",SpaceX Crew-1 is the first crewed operational flight of a Crew Dragon spacecraft to the International Space Station as part of NASA's Commercial Crew Program.,,
6017,Falcon 9 Block 5 | Sentinel-6 Michael Freilich,2020-11-21T17:17:08Z,True,Launch Successful,Falcon 9,Earth Science,Low Earth Orbit,Space Launch Complex 4E,"Vandenberg SFB, CA, USA","The Sentinel-6 Michael Freilich and Sentinel-6B make up the Sentinel-6 mission, also known as Jason Continuity of Service (Jason-CS), which is a partnership between NASA, NOAA, ESA, and EUMETSAT. This mission continues the long-term global sea surface height data record begun by first Jason satellites in 1992. Named after former NASA Earth Science Division Director Michael Freilich, Sentinel-6 Michail Freilich will provide altimeter data necessary for ocean climate monitoring, ocean modelling and numerical ocean prediction, weather forecasting, marine meteorology, coastal altimetry and modelling. A secondary objective of the mission is to collect high-resolution vertical profiles of temperature, using the Global Navigation Satellite System (GNSS) Radio-Occultation sounding technique, to assess temperature changes in the troposphere and stratosphere and to support numerical weather prediction. Sentinel-6 Michael Freilich is to operate in a highly-inclined circular orbit at an altitude of 1336 km, with an operational mission lasting 5 years. Near-identical Sentinel-6B is planned to follow-up shortly after.",,
6019,Falcon 9 Block 5 | Starlink 15,2020-11-25T02:13:12Z,True,Launch Successful,Falcon 9,Communications,Low Earth Orbit,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,,
6025,Falcon 9 Block 5 | Dragon CRS-2 SpX-21,2020-12-06T16:17:08Z,True,Launch Successful,Falcon 9,Resupply,Low Earth Orbit,Launch Complex 39A,"Kennedy Space Center, FL, USA","SpaceX will launch the first cargo variant of its Dragon 2 spacecraft on their 21st commercial resupply services mission to the International Space Station. The flight will be conducted under the second Commercial Resupply Services contract with NASA. Dragon will be filled with supplies and payloads, including critical materials to directly support more than 250 science and research investigations that occur onboard the orbiting laboratory.",,
,Starship SN8 | 12.5 km Flight,2020-12-09T22:45:25Z,False,Launch was a Partial Failure,Starship Prototype,Test Flight,Suborbital,Suborbital Pad A,"SpaceX Starbase, TX, USA","The SN8 Starship prototype was destroyed when attempting to land after a first flight to an altitude of 12.5 km or 41,000 ft.",,
6028,Falcon 9 Block 5 | Sirius SXM-7,2020-12-13T17:30:00Z,True,Launch Successful,Falcon 9,Communications,Geostationary Transfer Orbit,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA","SXM-7 is a large high power broadcasting satellite for SiriusXM's digital audio radio service (DARS). Space Systems/Loral (SS/L) got in July 2016 the contract to build the two satellites based on their SSL-1300 bus - SXM-7 and SXM-8. Both operate in the S-band spectrum. Each satellite will generate more than 20-kW of power and will have a large unfurlable antenna reflector, which enables broadcast to radios without the need for large dish-type antennas on the ground. SXM-7 is meant to replace the XM-3 satellite.",,
6034,Falcon 9 Block 5 | NROL-108,2020-12-19T14:00:00Z,True,Launch Successful,Falcon 9,Government/Top Secret,Low Earth Orbit,Launch Complex 39A,"Kennedy Space Center, FL, USA",Classified payload for NRO.,,
6038,Falcon 9 Block 5 | Türksat 5A,2021-01-08T02:15:00Z,True,Launch Successful,Falcon 9,Communications,Geostationary Transfer Orbit,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA","Türksat 5A is the first of two Turkish next generation communications satellites, which will be operated by Türksat for commercial and military purposes.",,
6042,Falcon 9 Block 5 | Starlink 16,2021-01-20T13:02:00Z,True,Launch Successful,Falcon 9,Communications,Low Earth Orbit,Launch Complex 39A,"Kennedy Space Center, FL, USA",A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,,
6043,Falcon 9 Block 5 | Transporter 1 (Dedicated SSO Rideshare),2021-01-24T15:00:00Z,True,Launch Successful,Falcon 9,Dedicated Rideshare,Sun-Synchronous Orbit,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Transporter 1 mission is a dedicated rideshare flight to a sun-synchronous orbit with dozens of small microsatellites and nanosatellites for commercial and government customers.,,
,Starship SN9 | 10 km Flight,2021-02-02T20:25:15Z,False,Launch was a Partial Failure,Starship Prototype,Test Flight,Suborbital,Suborbital Pad B,"SpaceX Starbase, TX, USA","The SN9 Starship performed a first flight similar to the one of SN8. It launched up to an altitude of 10 km or 33,000 ft, did a belly flop maneuver and a controlled descent to the landing pad where the landing flip maneuver was unsuccessful and resulted in the destruction of the prototype on impact.",,
6047,Falcon 9 Block 5 | Starlink 18,2021-02-04T06:19:54Z,True,Launch Successful,Falcon 9,Communications,Low Earth Orbit,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,,
6050,Falcon 9 Block 5 | Starlink 19,2021-02-16T03:59:37Z,True,Launch Successful,Falcon 9,Communications,Low Earth Orbit,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,,
