date,respondent,respondent_name,type,type_name,value,unit
2021-05-19,CAL,California,D,Demand,694618,megawatthours
2021-05-19,CAL,California,D,Demand,695521,megawatthours
2021-05-19,CAL,California,D,Demand,696220,megawatthours
2021-05-19,CAL,California,D,Demand,695007,megawatthours
2021-05-19,CAL,California,D,Demand,694618,megawatthours
2021-05-19,CAL,California,DF,Day-ahead demand forecast,683583,megawatthours
2021-05-19,CAL,California,DF,Day-ahead demand forecast,683621,megawatthours
2021-05-19,CAL,California,DF,Day-ahead demand forecast,683782,megawatthours
2021-05-19,CAL,California,DF,Day-ahead demand forecast,683575,megawatthours
2021-05-19,CAL,California,DF,Day-ahead demand forecast,683583,megawatthours
2021-05-19,CAL,California,NG,Net generation,588858,megawatthours
2021-05-19,CAL,California,NG,Net generation,585942,megawatthours
2021-05-19,CAL,California,NG,Net generation,584145,megawatthours
2021-05-19,CAL,California,NG,Net generation,587266,megawatthours
2021-05-19,CAL,California,NG,Net generation,588858,megawatthours
2021-05-19,CAL,California,TI,Total interchange,-99209,megawatthours
2021-05-19,CAL,California,TI,Total interchange,-102072,megawatthours
2021-05-19,CAL,California,TI,Total interchange,-104033,megawatthours
2021-05-19,CAL,California,TI,Total interchange,-100701,megawatthours
2021-05-19,CAL,California,TI,Total interchange,-99209,megawatthours
2021-05-20,CAL,California,D,Demand,674705,megawatthours
2021-05-20,CAL,California,D,Demand,676785,megawatthours
2021-05-20,CAL,California,D,Demand,677957,megawatthours
2021-05-20,CAL,California,D,Demand,675668,megawatthours
2021-05-20,CAL,California,D,Demand,674705,megawatthours
2021-05-20,CAL,California,DF,Day-ahead demand forecast,666366,megawatthours
2021-05-20,CAL,California,DF,Day-ahead demand forecast,667402,megawatthours
2021-05-20,CAL,California,DF,Day-ahead demand forecast,668385,megawatthours
2021-05-20,CAL,California,DF,Day-ahead demand forecast,666746,megawatthours
2021-05-20,CAL,California,DF,Day-ahead demand forecast,666366,megawatthours
2021-05-20,CAL,California,NG,Net generation,559325,megawatthours
2021-05-20,CAL,California,NG,Net generation,562077,megawatthours
2021-05-20,CAL,California,NG,Net generation,563724,megawatthours
2021-05-20,CAL,California,NG,Net generation,560220,megawatthours
2021-05-20,CAL,California,NG,Net generation,559325,megawatthours
2021-05-20,CAL,California,TI,Total interchange,-107955,megawatthours
2021-05-20,CAL,California,TI,Total interchange,-106755,megawatthours
2021-05-20,CAL,California,TI,Total interchange,-106099,megawatthours
2021-05-20,CAL,California,TI,Total interchange,-107457,megawatthours
2021-05-20,CAL,California,TI,Total interchange,-107955,megawatthours
2021-05-21,CAL,California,D,Demand,661401,megawatthours
2021-05-21,CAL,California,D,Demand,661263,megawatthours
2021-05-21,CAL,California,D,Demand,661763,megawatthours
2021-05-21,CAL,California,D,Demand,661216,megawatthours
2021-05-21,CAL,California,D,Demand,661401,megawatthours
2021-05-21,CAL,California,DF,Day-ahead demand forecast,639938,megawatthours
2021-05-21,CAL,California,DF,Day-ahead demand forecast,641354,megawatthours
2021-05-21,CAL,California,DF,Day-ahead demand forecast,642484,megawatthours
2021-05-21,CAL,California,DF,Day-ahead demand forecast,640548,megawatthours
2021-05-21,CAL,California,DF,Day-ahead demand forecast,639938,megawatthours
2021-05-21,CAL,California,NG,Net generation,543969,megawatthours
2021-05-21,CAL,California,NG,Net generation,545575,megawatthours
2021-05-21,CAL,California,NG,Net generation,546793,megawatthours
2021-05-21,CAL,California,NG,Net generation,544903,megawatthours
2021-05-21,CAL,California,NG,Net generation,543969,megawatthours
2021-05-21,CAL,California,TI,Total interchange,-114343,megawatthours
2021-05-21,CAL,California,TI,Total interchange,-113133,megawatthours
2021-05-21,CAL,California,TI,Total interchange,-112525,megawatthours
2021-05-21,CAL,California,TI,Total interchange,-113667,megawatthours
2021-05-21,CAL,California,TI,Total interchange,-114343,megawatthours
2021-05-22,CAL,California,D,Demand,610697,megawatthours
2021-05-22,CAL,California,D,Demand,612832,megawatthours
2021-05-22,CAL,California,D,Demand,614191,megawatthours
2021-05-22,CAL,California,D,Demand,611643,megawatthours
2021-05-22,CAL,California,D,Demand,610697,megawatthours
2021-05-22,CAL,California,DF,Day-ahead demand forecast,589818,megawatthours
2021-05-22,CAL,California,DF,Day-ahead demand forecast,591886,megawatthours
2021-05-22,CAL,California,DF,Day-ahead demand forecast,593197,megawatthours
2021-05-22,CAL,California,DF,Day-ahead demand forecast,590782,megawatthours
2021-05-22,CAL,California,DF,Day-ahead demand forecast,589818,megawatthours
2021-05-22,CAL,California,NG,Net generation,491041,megawatthours
2021-05-22,CAL,California,NG,Net generation,492340,megawatthours
2021-05-22,CAL,California,NG,Net generation,492887,megawatthours
2021-05-22,CAL,California,NG,Net generation,491939,megawatthours
2021-05-22,CAL,California,NG,Net generation,491041,megawatthours
2021-05-22,CAL,California,TI,Total interchange,-109752,megawatthours
2021-05-22,CAL,California,TI,Total interchange,-111472,megawatthours
2021-05-22,CAL,California,TI,Total interchange,-112028,megawatthours
2021-05-22,CAL,California,TI,Total interchange,-110573,megawatthours
2021-05-22,CAL,California,TI,Total interchange,-109752,megawatthours
2021-05-23,CAL,California,D,Demand,595657,megawatthours
2021-05-23,CAL,California,D,Demand,595327,megawatthours
2021-05-23,CAL,California,D,Demand,594562,megawatthours
2021-05-23,CAL,California,D,Demand,595691,megawatthours
2021-05-23,CAL,California,D,Demand,595657,megawatthours
2021-05-23,CAL,California,DF,Day-ahead demand forecast,573616,megawatthours
2021-05-23,CAL,California,DF,Day-ahead demand forecast,573674,megawatthours
2021-05-23,CAL,California,DF,Day-ahead demand forecast,573132,megawatthours
2021-05-23,CAL,California,DF,Day-ahead demand forecast,573752,megawatthours
2021-05-23,CAL,California,DF,Day-ahead demand forecast,573616,megawatthours
2021-05-23,CAL,California,NG,Net generation,449906,megawatthours
2021-05-23,CAL,California,NG,Net generation,454376,megawatthours
2021-05-23,CAL,California,NG,Net generation,456197,megawatthours
2021-05-23,CAL,California,NG,Net generation,452116,megawatthours
