country,countryiso3code,indicator_id,indicator,date,value,factfulness_question
Brazil,BRA,EG.ELC.ACCS.ZS,Access to electricity (% of population),2021,99.5,내 상식은 최신 데이터와 얼마나 다를까?
Brazil,BRA,EG.ELC.ACCS.ZS,Access to electricity (% of population),2022,100,내 상식은 최신 데이터와 얼마나 다를까?
Brazil,BRA,EG.ELC.ACCS.ZS,Access to electricity (% of population),2023,99.8,내 상식은 최신 데이터와 얼마나 다를까?
China,CHN,EG.ELC.ACCS.ZS,Access to electricity (% of population),2021,100,내 상식은 최신 데이터와 얼마나 다를까?
China,CHN,EG.ELC.ACCS.ZS,Access to electricity (% of population),2022,100,내 상식은 최신 데이터와 얼마나 다를까?
China,CHN,EG.ELC.ACCS.ZS,Access to electricity (% of population),2023,100,내 상식은 최신 데이터와 얼마나 다를까?
India,IND,EG.ELC.ACCS.ZS,Access to electricity (% of population),2021,99.6,내 상식은 최신 데이터와 얼마나 다를까?
India,IND,EG.ELC.ACCS.ZS,Access to electricity (% of population),2022,99.2,내 상식은 최신 데이터와 얼마나 다를까?
India,IND,EG.ELC.ACCS.ZS,Access to electricity (% of population),2023,99.5,내 상식은 최신 데이터와 얼마나 다를까?
"Korea, Rep.",KOR,EG.ELC.ACCS.ZS,Access to electricity (% of population),2021,100,내 상식은 최신 데이터와 얼마나 다를까?
"Korea, Rep.",KOR,EG.ELC.ACCS.ZS,Access to electricity (% of population),2022,100,내 상식은 최신 데이터와 얼마나 다를까?
"Korea, Rep.",KOR,EG.ELC.ACCS.ZS,Access to electricity (% of population),2023,100,내 상식은 최신 데이터와 얼마나 다를까?
Nigeria,NGA,EG.ELC.ACCS.ZS,Access to electricity (% of population),2021,59.5,내 상식은 최신 데이터와 얼마나 다를까?
Nigeria,NGA,EG.ELC.ACCS.ZS,Access to electricity (% of population),2022,60.5,내 상식은 최신 데이터와 얼마나 다를까?
Nigeria,NGA,EG.ELC.ACCS.ZS,Access to electricity (% of population),2023,61.2,내 상식은 최신 데이터와 얼마나 다를까?
Sweden,SWE,EG.ELC.ACCS.ZS,Access to electricity (% of population),2021,100,내 상식은 최신 데이터와 얼마나 다를까?
