date,base,quote,rate
2021-05-14,USD,KRW,1128.49
2021-05-17,USD,KRW,1138.25
2021-05-18,USD,KRW,1127.57
2021-05-19,USD,KRW,1129.95
2021-05-20,USD,KRW,1130.79
2021-05-21,USD,KRW,1126.56
2021-05-24,USD,KRW,1126.29
2021-05-25,USD,KRW,1121.63
2021-05-26,USD,KRW,1117.02
2021-05-27,USD,KRW,1117.1
2021-05-28,USD,KRW,1116.67
2021-05-31,USD,KRW,1108.14
2021-06-01,USD,KRW,1108.7
2021-06-02,USD,KRW,1112.84
2021-06-03,USD,KRW,1114.1
2021-06-04,USD,KRW,1116.56
2021-06-07,USD,KRW,1111.03
2021-06-08,USD,KRW,1115.36
2021-06-09,USD,KRW,1115.13
2021-06-10,USD,KRW,1116.12
2021-06-11,USD,KRW,1114.3
2021-06-14,USD,KRW,1118.78
2021-06-15,USD,KRW,1118.35
2021-06-16,USD,KRW,1118.63
2021-06-17,USD,KRW,1134.34
2021-06-18,USD,KRW,1132.23
2021-06-21,USD,KRW,1134.63
2021-06-22,USD,KRW,1135.63
2021-06-23,USD,KRW,1136.27
2021-06-24,USD,KRW,1131.93
2021-06-25,USD,KRW,1126.65
2021-06-28,USD,KRW,1131.75
2021-06-29,USD,KRW,1128.24
2021-06-30,USD,KRW,1128.75
2021-07-01,USD,KRW,1132.5
2021-07-02,USD,KRW,1136.34
2021-07-05,USD,KRW,1130.31
2021-07-06,USD,KRW,1133.36
2021-07-07,USD,KRW,1136.75
2021-07-08,USD,KRW,1149.97
2021-07-09,USD,KRW,1145.39
2021-07-12,USD,KRW,1149.13
2021-07-13,USD,KRW,1145.53
2021-07-14,USD,KRW,1147.34
2021-07-15,USD,KRW,1143.31
2021-07-16,USD,KRW,1142.13
2021-07-19,USD,KRW,1153.77
2021-07-20,USD,KRW,1148.53
2021-07-21,USD,KRW,1154.91
2021-07-22,USD,KRW,1148.7
2021-07-23,USD,KRW,1150.84
2021-07-26,USD,KRW,1154.4
2021-07-27,USD,KRW,1152.2
2021-07-28,USD,KRW,1154.39
2021-07-29,USD,KRW,1145.52
2021-07-30,USD,KRW,1151.07
2021-08-02,USD,KRW,1150.66
2021-08-03,USD,KRW,1148.16
2021-08-04,USD,KRW,1142.77
2021-08-05,USD,KRW,1142.06
2021-08-06,USD,KRW,1142.67
2021-08-09,USD,KRW,1144.31
2021-08-10,USD,KRW,1151.48
2021-08-11,USD,KRW,1158.4
2021-08-12,USD,KRW,1162.95
2021-08-13,USD,KRW,1164.44
2021-08-16,USD,KRW,1167.25
2021-08-17,USD,KRW,1174.39
2021-08-18,USD,KRW,1170.31
2021-08-19,USD,KRW,1175.91
2021-08-20,USD,KRW,1182.98
2021-08-23,USD,KRW,1171.31
2021-08-24,USD,KRW,1166.1
2021-08-25,USD,KRW,1167.49
2021-08-26,USD,KRW,1167.13
2021-08-27,USD,KRW,1169.78
2021-08-30,USD,KRW,1165.18
2021-08-31,USD,KRW,1157.71
2021-09-01,USD,KRW,1158.71
2021-09-02,USD,KRW,1158.75
2021-09-03,USD,KRW,1157.4
2021-09-06,USD,KRW,1156.82
2021-09-07,USD,KRW,1163.7
2021-09-08,USD,KRW,1165.09
2021-09-09,USD,KRW,1168.04
