from_utc,to_utc,forecast_gco2_kwh,actual_gco2_kwh,index
2026-05-07T23:00Z,2026-05-07T23:30Z,176,184,high
2026-05-07T23:30Z,2026-05-08T00:00Z,177,185,high
2026-05-08T00:00Z,2026-05-08T00:30Z,187,189,high
2026-05-08T00:30Z,2026-05-08T01:00Z,182,191,high
2026-05-08T01:00Z,2026-05-08T01:30Z,184,191,high
2026-05-08T01:30Z,2026-05-08T02:00Z,194,192,high
2026-05-08T02:00Z,2026-05-08T02:30Z,198,191,high
2026-05-08T02:30Z,2026-05-08T03:00Z,197,193,high
2026-05-08T03:00Z,2026-05-08T03:30Z,191,197,high
2026-05-08T03:30Z,2026-05-08T04:00Z,195,192,high
2026-05-08T04:00Z,2026-05-08T04:30Z,201,195,high
2026-05-08T04:30Z,2026-05-08T05:00Z,197,197,high
2026-05-08T05:00Z,2026-05-08T05:30Z,197,200,high
2026-05-08T05:30Z,2026-05-08T06:00Z,201,194,high
2026-05-08T06:00Z,2026-05-08T06:30Z,198,188,high
2026-05-08T06:30Z,2026-05-08T07:00Z,192,185,high
2026-05-08T07:00Z,2026-05-08T07:30Z,185,176,high
2026-05-08T07:30Z,2026-05-08T08:00Z,170,166,moderate
2026-05-08T08:00Z,2026-05-08T08:30Z,168,159,moderate
2026-05-08T08:30Z,2026-05-08T09:00Z,153,153,moderate
2026-05-08T09:00Z,2026-05-08T09:30Z,154,150,moderate
2026-05-08T09:30Z,2026-05-08T10:00Z,147,145,moderate
2026-05-08T10:00Z,2026-05-08T10:30Z,137,140,moderate
2026-05-08T10:30Z,2026-05-08T11:00Z,144,137,moderate
2026-05-08T11:00Z,2026-05-08T11:30Z,138,134,moderate
2026-05-08T11:30Z,2026-05-08T12:00Z,134,128,moderate
2026-05-08T12:00Z,2026-05-08T12:30Z,135,127,moderate
2026-05-08T12:30Z,2026-05-08T13:00Z,135,127,moderate
2026-05-08T13:00Z,2026-05-08T13:30Z,141,128,moderate
2026-05-08T13:30Z,2026-05-08T14:00Z,127,129,moderate
2026-05-08T14:00Z,2026-05-08T14:30Z,131,133,moderate
2026-05-08T14:30Z,2026-05-08T15:00Z,133,141,moderate
2026-05-08T15:00Z,2026-05-08T15:30Z,142,150,moderate
2026-05-08T15:30Z,2026-05-08T16:00Z,156,160,moderate
2026-05-08T16:00Z,2026-05-08T16:30Z,165,169,moderate
2026-05-08T16:30Z,2026-05-08T17:00Z,171,174,high
2026-05-08T17:00Z,2026-05-08T17:30Z,182,180,high
2026-05-08T17:30Z,2026-05-08T18:00Z,183,187,high
2026-05-08T18:00Z,2026-05-08T18:30Z,188,191,high
2026-05-08T18:30Z,2026-05-08T19:00Z,196,195,high
2026-05-08T19:00Z,2026-05-08T19:30Z,198,198,high
2026-05-08T19:30Z,2026-05-08T20:00Z,203,198,high
2026-05-08T20:00Z,2026-05-08T20:30Z,206,196,high
2026-05-08T20:30Z,2026-05-08T21:00Z,208,192,high
2026-05-08T21:00Z,2026-05-08T21:30Z,201,182,high
2026-05-08T21:30Z,2026-05-08T22:00Z,181,166,moderate
2026-05-08T22:00Z,2026-05-08T22:30Z,180,161,moderate
2026-05-08T22:30Z,2026-05-08T23:00Z,174,161,moderate
2026-05-08T23:00Z,2026-05-08T23:30Z,177,160,moderate
2026-05-08T23:30Z,2026-05-09T00:00Z,177,163,moderate
2026-05-09T00:00Z,2026-05-09T00:30Z,163,163,moderate
2026-05-09T00:30Z,2026-05-09T01:00Z,164,162,moderate
2026-05-09T01:00Z,2026-05-09T01:30Z,158,161,moderate
2026-05-09T01:30Z,2026-05-09T02:00Z,159,158,moderate
2026-05-09T02:00Z,2026-05-09T02:30Z,159,160,moderate
2026-05-09T02:30Z,2026-05-09T03:00Z,158,163,moderate
2026-05-09T03:00Z,2026-05-09T03:30Z,159,163,moderate
2026-05-09T03:30Z,2026-05-09T04:00Z,170,160,moderate
2026-05-09T04:00Z,2026-05-09T04:30Z,164,151,moderate
2026-05-09T04:30Z,2026-05-09T05:00Z,165,145,moderate
2026-05-09T05:00Z,2026-05-09T05:30Z,163,139,moderate
2026-05-09T05:30Z,2026-05-09T06:00Z,146,126,moderate
2026-05-09T06:00Z,2026-05-09T06:30Z,142,113,moderate
2026-05-09T06:30Z,2026-05-09T07:00Z,126,106,moderate
2026-05-09T07:00Z,2026-05-09T07:30Z,115,94,moderate
2026-05-09T07:30Z,2026-05-09T08:00Z,91,85,low
2026-05-09T08:00Z,2026-05-09T08:30Z,81,77,low
2026-05-09T08:30Z,2026-05-09T09:00Z,76,73,low
2026-05-09T09:00Z,2026-05-09T09:30Z,70,71,low
2026-05-09T09:30Z,2026-05-09T10:00Z,67,68,low
2026-05-09T10:00Z,2026-05-09T10:30Z,63,65,low
2026-05-09T10:30Z,2026-05-09T11:00Z,63,66,low
2026-05-09T11:00Z,2026-05-09T11:30Z,60,66,low
2026-05-09T11:30Z,2026-05-09T12:00Z,60,67,low
2026-05-09T12:00Z,2026-05-09T12:30Z,61,66,low
2026-05-09T12:30Z,2026-05-09T13:00Z,57,64,low
2026-05-09T13:00Z,2026-05-09T13:30Z,61,68,low
2026-05-09T13:30Z,2026-05-09T14:00Z,63,68,low
2026-05-09T14:00Z,2026-05-09T14:30Z,62,74,low
2026-05-09T14:30Z,2026-05-09T15:00Z,62,81,low
2026-05-09T15:00Z,2026-05-09T15:30Z,67,92,moderate
2026-05-09T15:30Z,2026-05-09T16:00Z,78,107,moderate
2026-05-09T16:00Z,2026-05-09T16:30Z,85,123,moderate
2026-05-09T16:30Z,2026-05-09T17:00Z,109,138,moderate
2026-05-09T17:00Z,2026-05-09T17:30Z,120,143,moderate
2026-05-09T17:30Z,2026-05-09T18:00Z,141,150,moderate
2026-05-09T18:00Z,2026-05-09T18:30Z,234,158,moderate
2026-05-09T18:30Z,2026-05-09T19:00Z,150,163,moderate
2026-05-09T19:00Z,2026-05-09T19:30Z,158,163,moderate
2026-05-09T19:30Z,2026-05-09T20:00Z,165,165,moderate
2026-05-09T20:00Z,2026-05-09T20:30Z,163,166,moderate
2026-05-09T20:30Z,2026-05-09T21:00Z,165,170,high
2026-05-09T21:00Z,2026-05-09T21:30Z,142,165,moderate
2026-05-09T21:30Z,2026-05-09T22:00Z,170,144,moderate
2026-05-09T22:00Z,2026-05-09T22:30Z,165,129,moderate
2026-05-09T22:30Z,2026-05-09T23:00Z,158,122,moderate
2026-05-09T23:00Z,2026-05-09T23:30Z,151,115,moderate
2026-05-09T23:30Z,2026-05-10T00:00Z,143,110,moderate
2026-05-10T00:00Z,2026-05-10T00:30Z,117,108,moderate
2026-05-10T00:30Z,2026-05-10T01:00Z,111,107,moderate
2026-05-10T01:00Z,2026-05-10T01:30Z,105,105,moderate
2026-05-10T01:30Z,2026-05-10T02:00Z,104,96,moderate
2026-05-10T02:00Z,2026-05-10T02:30Z,104,93,moderate
2026-05-10T02:30Z,2026-05-10T03:00Z,97,85,low
2026-05-10T03:00Z,2026-05-10T03:30Z,97,80,low
2026-05-10T03:30Z,2026-05-10T04:00Z,86,74,low
2026-05-10T04:00Z,2026-05-10T04:30Z,84,73,low
2026-05-10T04:30Z,2026-05-10T05:00Z,74,80,low
2026-05-10T05:00Z,2026-05-10T05:30Z,77,79,low
2026-05-10T05:30Z,2026-05-10T06:00Z,79,85,low
2026-05-10T06:00Z,2026-05-10T06:30Z,78,82,low
2026-05-10T06:30Z,2026-05-10T07:00Z,82,79,low
2026-05-10T07:00Z,2026-05-10T07:30Z,79,73,low
2026-05-10T07:30Z,2026-05-10T08:00Z,74,69,low
2026-05-10T08:00Z,2026-05-10T08:30Z,68,67,low
2026-05-10T08:30Z,2026-05-10T09:00Z,63,62,low
2026-05-10T09:00Z,2026-05-10T09:30Z,62,62,low
2026-05-10T09:30Z,2026-05-10T10:00Z,56,61,low
2026-05-10T10:00Z,2026-05-10T10:30Z,57,60,low
2026-05-10T10:30Z,2026-05-10T11:00Z,56,60,low
2026-05-10T11:00Z,2026-05-10T11:30Z,55,57,low
2026-05-10T11:30Z,2026-05-10T12:00Z,56,56,low
2026-05-10T12:00Z,2026-05-10T12:30Z,54,55,low
2026-05-10T12:30Z,2026-05-10T13:00Z,53,55,low
2026-05-10T13:00Z,2026-05-10T13:30Z,53,55,low
2026-05-10T13:30Z,2026-05-10T14:00Z,52,54,low
2026-05-10T14:00Z,2026-05-10T14:30Z,53,53,low
2026-05-10T14:30Z,2026-05-10T15:00Z,52,55,low
2026-05-10T15:00Z,2026-05-10T15:30Z,50,63,low
2026-05-10T15:30Z,2026-05-10T16:00Z,50,78,low
2026-05-10T16:00Z,2026-05-10T16:30Z,58,92,moderate
2026-05-10T16:30Z,2026-05-10T17:00Z,73,102,moderate
2026-05-10T17:00Z,2026-05-10T17:30Z,92,111,moderate
2026-05-10T17:30Z,2026-05-10T18:00Z,96,122,moderate
2026-05-10T18:00Z,2026-05-10T18:30Z,105,131,moderate
2026-05-10T18:30Z,2026-05-10T19:00Z,124,136,moderate
2026-05-10T19:00Z,2026-05-10T19:30Z,132,141,moderate
2026-05-10T19:30Z,2026-05-10T20:00Z,133,140,moderate
2026-05-10T20:00Z,2026-05-10T20:30Z,139,139,moderate
2026-05-10T20:30Z,2026-05-10T21:00Z,142,140,moderate
2026-05-10T21:00Z,2026-05-10T21:30Z,142,132,moderate
2026-05-10T21:30Z,2026-05-10T22:00Z,131,119,moderate
2026-05-10T22:00Z,2026-05-10T22:30Z,130,114,moderate
2026-05-10T22:30Z,2026-05-10T23:00Z,123,112,moderate
2026-05-10T23:00Z,2026-05-10T23:30Z,121,113,moderate
2026-05-10T23:30Z,2026-05-11T00:00Z,119,112,moderate
2026-05-11T00:00Z,2026-05-11T00:30Z,113,112,moderate
2026-05-11T00:30Z,2026-05-11T01:00Z,112,106,moderate
2026-05-11T01:00Z,2026-05-11T01:30Z,115,104,moderate
2026-05-11T01:30Z,2026-05-11T02:00Z,102,106,moderate
2026-05-11T02:00Z,2026-05-11T02:30Z,111,108,moderate
2026-05-11T02:30Z,2026-05-11T03:00Z,108,108,moderate
2026-05-11T03:00Z,2026-05-11T03:30Z,107,98,moderate
2026-05-11T03:30Z,2026-05-11T04:00Z,100,100,moderate
2026-05-11T04:00Z,2026-05-11T04:30Z,99,102,moderate
2026-05-11T04:30Z,2026-05-11T05:00Z,98,115,moderate
2026-05-11T05:00Z,2026-05-11T05:30Z,101,129,moderate
2026-05-11T05:30Z,2026-05-11T06:00Z,115,128,moderate
2026-05-11T06:00Z,2026-05-11T06:30Z,125,128,moderate
2026-05-11T06:30Z,2026-05-11T07:00Z,117,112,moderate
2026-05-11T07:00Z,2026-05-11T07:30Z,118,110,moderate
2026-05-11T07:30Z,2026-05-11T08:00Z,104,97,moderate
2026-05-11T08:00Z,2026-05-11T08:30Z,107,90,moderate
2026-05-11T08:30Z,2026-05-11T09:00Z,98,92,moderate
2026-05-11T09:00Z,2026-05-11T09:30Z,84,93,moderate
