key,scientificName,vernacularName,eventDate,year,country,locality,decimalLatitude,decimalLongitude,basisOfRecord
5938029622,"Anas acuta Linnaeus, 1758",,2026-01-01T12:35,2026,"Korea, Republic of",,36.814395,126.282603,HUMAN_OBSERVATION
5938030059,"Suthora webbiana Gould, 1852",,2026-01-02T10:38:03,2026,"Korea, Republic of",,36.394635,127.410015,HUMAN_OBSERVATION
5938033017,"Emberiza rustica Pallas, 1776",,2026-01-02T08:48,2026,"Korea, Republic of",,36.832283,126.278982,HUMAN_OBSERVATION
5938035768,"Sittiparus varius (Temminck & Schlegel, 1847)",,2026-01-01T13:18:27,2026,"Korea, Republic of",,37.325272,127.074495,HUMAN_OBSERVATION
5938038410,"Columba livia var. domestica J.F.Gmelin, 1789",,2026-01-03T16:26,2026,"Korea, Republic of",,37.508592,127.099913,HUMAN_OBSERVATION
5938042430,"Ardea cinerea Linnaeus, 1758",,2026-01-01T19:35:04,2026,"Korea, Republic of",,37.568725,126.983467,HUMAN_OBSERVATION
5938047504,"Buteo japonicus Temminck & Schlegel, 1844",,2026-01-01T16:11:17,2026,"Korea, Republic of",,36.683961,127.449513,HUMAN_OBSERVATION
5938049850,"Passer montanus (Linnaeus, 1758)",,2026-01-03T14:19,2026,"Korea, Republic of",,36.886493,126.271072,HUMAN_OBSERVATION
5938049998,"Tachybaptus ruficollis (Pallas, 1764)",,2026-01-05,2026,"Korea, Republic of",,36.79061,127.142515,HUMAN_OBSERVATION
5938050989,"Antigone vipio (Pallas, 1811)",,2026-01-03T13:17:45,2026,"Korea, Republic of",,35.068465,127.819569,HUMAN_OBSERVATION
5938054621,Ligustrum obtusifolium Siebold & Zucc.,,2026-01-04T14:58:47,2026,"Korea, Republic of",,37.662127,127.021152,HUMAN_OBSERVATION
5938062297,"Buteo hemilasius Temminck & Schlegel, 1844",,2026-01-01T15:22:35,2026,"Korea, Republic of",,36.689299,127.44553,HUMAN_OBSERVATION
5938062623,"Bucephala clangula (Linnaeus, 1758)",,2026-01-01T12:01,2026,"Korea, Republic of",,35.842121,126.691989,HUMAN_OBSERVATION
5938064504,"Charybdis japonica (A.Milne-Edwards, 1861)",,2026-01-01T09:13:52,2026,"Korea, Republic of",,35.023997,128.608833,HUMAN_OBSERVATION
5938064819,"Phalacrocorax carbo (Linnaeus, 1758)",,2026-01-03T15:15,2026,"Korea, Republic of",,37.509385,127.099678,HUMAN_OBSERVATION
5938067681,"Periparus ater (Linnaeus, 1758)",,2026-01-01T13:22:39,2026,"Korea, Republic of",,37.465805,126.955287,HUMAN_OBSERVATION
5938076055,"Mareca falcata (Georgi, 1775)",,2026-01-01T12:34,2026,"Korea, Republic of",,36.873675,126.205748,HUMAN_OBSERVATION
5938078424,"Ardea cinerea Linnaeus, 1758",,2026-01-01T11:19,2026,"Korea, Republic of",,36.77577,126.283638,HUMAN_OBSERVATION
5938079191,"Anas crecca Linnaeus, 1758",,2026-01-01T12:43,2026,"Korea, Republic of",,36.815855,126.284495,HUMAN_OBSERVATION
5938083640,"Anas zonorhyncha Swinhoe, 1866",,2026-01-01T12:11,2026,"Korea, Republic of",,36.799288,126.287937,HUMAN_OBSERVATION
5938085783,"Anas acuta Linnaeus, 1758",,2026-01-03T12:39,2026,"Korea, Republic of",,36.391983,127.411388,HUMAN_OBSERVATION
5938087919,Erigeron annuus (L.) Pers.,,2026-01-05T13:40,2026,"Korea, Republic of",,37.298114,127.072205,HUMAN_OBSERVATION
5938089295,Anarhynchus alexandrinus,,2026-01-03T14:14,2026,"Korea, Republic of",,36.901072,126.267337,HUMAN_OBSERVATION
5938101178,"Phalacrocorax carbo (Linnaeus, 1758)",,2026-01-03T12:21,2026,"Korea, Republic of",,36.396415,127.410982,HUMAN_OBSERVATION
