date,gamePk,gameDate,season,gameType,status,away_team,home_team,away_score,home_score
2021-05-17,634070,2021-05-17T22:40:00Z,2021,R,Final,San Francisco Giants,Cincinnati Reds,6,3
2021-05-17,634063,2021-05-17T23:10:00Z,2021,R,Final,New York Mets,Atlanta Braves,3,1
2021-05-17,634076,2021-05-17T23:40:00Z,2021,R,Final,Washington Nationals,Chicago Cubs,3,7
2021-05-17,634077,2021-05-17T23:40:00Z,2021,R,Final,Chicago White Sox,Minnesota Twins,16,4
2021-05-17,634099,2021-05-18T00:05:00Z,2021,R,Final,New York Yankees,Texas Rangers,2,5
2021-05-17,634101,2021-05-18T01:38:00Z,2021,R,Final,Cleveland Indians,Los Angeles Angels,4,7
2021-05-17,634091,2021-05-18T02:10:00Z,2021,R,Final,Arizona Diamondbacks,Los Angeles Dodgers,1,3
2021-05-17,634057,2021-05-18T02:10:00Z,2021,R,Final,Colorado Rockies,San Diego Padres,0,7
2021-05-17,634082,2021-05-18T02:10:00Z,2021,R,Final,Detroit Tigers,Seattle Mariners,4,1
2021-05-18,634058,2021-05-18T22:40:00Z,2021,R,Final,San Francisco Giants,Cincinnati Reds,4,2
2021-05-18,634075,2021-05-18T23:05:00Z,2021,R,Final,Tampa Bay Rays,Baltimore Orioles,13,6
2021-05-18,634051,2021-05-18T23:05:00Z,2021,R,Final,Miami Marlins,Philadelphia Phillies,3,8
2021-05-18,634107,2021-05-18T23:20:00Z,2021,R,Final,New York Mets,Atlanta Braves,4,3
2021-05-18,634133,2021-05-18T23:37:00Z,2021,R,Final,Boston Red Sox,Toronto Blue Jays,0,8
2021-05-18,634052,2021-05-18T23:40:00Z,2021,R,Final,Washington Nationals,Chicago Cubs,3,6
2021-05-18,634073,2021-05-18T23:40:00Z,2021,R,Final,Chicago White Sox,Minnesota Twins,4,5
2021-05-18,634109,2021-05-18T23:45:00Z,2021,R,Final,Pittsburgh Pirates,St. Louis Cardinals,2,5
2021-05-18,634067,2021-05-19T00:05:00Z,2021,R,Final,New York Yankees,Texas Rangers,7,4
2021-05-18,634043,2021-05-19T00:10:00Z,2021,R,Final,Milwaukee Brewers,Kansas City Royals,0,2
2021-05-18,634102,2021-05-19T01:38:00Z,2021,R,Final,Cleveland Indians,Los Angeles Angels,6,5
2021-05-18,634050,2021-05-19T01:40:00Z,2021,R,Final,Houston Astros,Oakland Athletics,5,6
2021-05-18,634092,2021-05-19T02:10:00Z,2021,R,Final,Arizona Diamondbacks,Los Angeles Dodgers,1,9
2021-05-18,634065,2021-05-19T02:10:00Z,2021,R,Final,Colorado Rockies,San Diego Padres,1,2
2021-05-18,634115,2021-05-19T02:10:00Z,2021,R,Final,Detroit Tigers,Seattle Mariners,5,0
2021-05-19,634030,2021-05-19T17:10:00Z,2021,R,Final,Chicago White Sox,Minnesota Twins,2,1
2021-05-19,634031,2021-05-19T20:10:00Z,2021,R,Final,Colorado Rockies,San Diego Padres,0,3
2021-05-19,634061,2021-05-19T22:40:00Z,2021,R,Final,San Francisco Giants,Cincinnati Reds,4,0
2021-05-19,634055,2021-05-19T23:05:00Z,2021,R,Final,Tampa Bay Rays,Baltimore Orioles,9,7
2021-05-19,634044,2021-05-19T23:05:00Z,2021,R,Final,Miami Marlins,Philadelphia Phillies,3,1
2021-05-19,634066,2021-05-19T23:20:00Z,2021,R,Final,New York Mets,Atlanta Braves,4,5
2021-05-19,634116,2021-05-19T23:37:00Z,2021,R,Final,Boston Red Sox,Toronto Blue Jays,7,3
2021-05-19,634053,2021-05-19T23:40:00Z,2021,R,Final,Washington Nationals,Chicago Cubs,4,3
2021-05-19,634026,2021-05-19T23:45:00Z,2021,R,Final,Pittsburgh Pirates,St. Louis Cardinals,5,8
2021-05-19,634168,2021-05-20T00:05:00Z,2021,R,Final,New York Yankees,Texas Rangers,2,0
2021-05-19,634029,2021-05-20T00:07:00Z,2021,R,Final,Cleveland Indians,Los Angeles Angels,3,2
2021-05-19,634037,2021-05-20T00:10:00Z,2021,R,Final,Milwaukee Brewers,Kansas City Royals,4,6
2021-05-19,634034,2021-05-20T01:40:00Z,2021,R,Final,Houston Astros,Oakland Athletics,8,1
2021-05-19,634033,2021-05-20T02:10:00Z,2021,R,Final,Arizona Diamondbacks,Los Angeles Dodgers,2,4
2021-05-19,634046,2021-05-20T02:10:00Z,2021,R,Final,Detroit Tigers,Seattle Mariners,6,2
2021-05-20,634020,2021-05-20T16:35:00Z,2021,R,Final,San Francisco Giants,Cincinnati Reds,19,4
2021-05-20,634120,2021-05-20T16:35:00Z,2021,R,Final,Tampa Bay Rays,Baltimore Orioles,10,1
2021-05-20,634047,2021-05-20T18:05:00Z,2021,R,Final,New York Yankees,Texas Rangers,2,0
2021-05-20,634112,2021-05-20T18:20:00Z,2021,R,Final,Washington Nationals,Chicago Cubs,2,5
2021-05-20,634045,2021-05-20T19:37:00Z,2021,R,Final,Houston Astros,Oakland Athletics,8,4
2021-05-20,634465,2021-05-20T20:07:00Z,2021,R,Final,Minnesota Twins,Los Angeles Angels,1,7
2021-05-20,634441,2021-05-20T23:07:00Z,2021,R,Final,Minnesota Twins,Los Angeles Angels,6,3
2021-05-20,634039,2021-05-20T23:05:00Z,2021,R,Final,Miami Marlins,Philadelphia Phillies,6,0
2021-05-20,634041,2021-05-20T23:20:00Z,2021,R,Final,Pittsburgh Pirates,Atlanta Braves,6,4
2021-05-20,634018,2021-05-20T23:37:00Z,2021,R,Final,Boston Red Sox,Toronto Blue Jays,8,7
2021-05-20,634059,2021-05-21T02:10:00Z,2021,R,Final,Arizona Diamondbacks,Los Angeles Dodgers,2,3
2021-05-21,634012,2021-05-21T23:05:00Z,2021,R,Final,Baltimore Orioles,Washington Nationals,2,4
2021-05-21,634054,2021-05-21T23:05:00Z,2021,R,Final,Boston Red Sox,Philadelphia Phillies,11,3
2021-05-21,634014,2021-05-21T23:05:00Z,2021,R,Final,Chicago White Sox,New York Yankees,1,2
2021-05-21,634015,2021-05-21T23:10:00Z,2021,R,Final,Minnesota Twins,Cleveland Indians,10,0
2021-05-21,634089,2021-05-21T23:10:00Z,2021,R,Final,New York Mets,Miami Marlins,6,5
2021-05-21,634027,2021-05-21T23:10:00Z,2021,R,Final,Milwaukee Brewers,Cincinnati Reds,4,9
2021-05-21,634036,2021-05-21T23:20:00Z,2021,R,Final,Pittsburgh Pirates,Atlanta Braves,1,20
2021-05-21,634078,2021-05-21T23:37:00Z,2021,R,Final,Tampa Bay Rays,Toronto Blue Jays,9,7
2021-05-21,634008,2021-05-22T00:05:00Z,2021,R,Final,Houston Astros,Texas Rangers,5,7
2021-05-21,634088,2021-05-22T00:10:00Z,2021,R,Final,Detroit Tigers,Kansas City Royals,7,5
2021-05-21,634022,2021-05-22T00:15:00Z,2021,R,Final,Chicago Cubs,St. Louis Cardinals,12,3
2021-05-21,634016,2021-05-22T00:40:00Z,2021,R,Final,Arizona Diamondbacks,Colorado Rockies,1,7
2021-05-21,634028,2021-05-22T01:38:00Z,2021,R,Final,Oakland Athletics,Los Angeles Angels,8,4
2021-05-21,634013,2021-05-22T01:45:00Z,2021,R,Final,Los Angeles Dodgers,San Francisco Giants,2,1
2021-05-21,634019,2021-05-22T02:10:00Z,2021,R,Final,Seattle Mariners,San Diego Padres,1,16
2021-05-22,634035,2021-05-22T17:05:00Z,2021,R,Final,Chicago White Sox,New York Yankees,0,7
2021-05-22,634010,2021-05-22T19:10:00Z,2021,R,Final,Arizona Diamondbacks,Colorado Rockies,6,7
2021-05-22,634062,2021-05-22T20:05:00Z,2021,R,Final,Baltimore Orioles,Washington Nationals,9,12
2021-05-22,634079,2021-05-22T20:05:00Z,2021,R,Final,Houston Astros,Texas Rangers,4,8
2021-05-22,634001,2021-05-22T20:10:00Z,2021,R,Final,Detroit Tigers,Kansas City Royals,5,7
2021-05-22,634038,2021-05-22T20:10:00Z,2021,R,Final,Minnesota Twins,Cleveland Indians,3,5
2021-05-22,634049,2021-05-22T20:10:00Z,2021,R,Final,Pittsburgh Pirates,Atlanta Braves,1,6
2021-05-22,633999,2021-05-22T20:10:00Z,2021,R,Final,New York Mets,Miami Marlins,1,3
2021-05-22,634017,2021-05-22T20:10:00Z,2021,R,Final,Milwaukee Brewers,Cincinnati Reds,4,3
2021-05-22,634011,2021-05-22T23:15:00Z,2021,R,Final,Los Angeles Dodgers,San Francisco Giants,6,3
2021-05-22,634032,2021-05-22T23:15:00Z,2021,R,Final,Chicago Cubs,St. Louis Cardinals,1,2
2021-05-22,633984,2021-05-22T23:15:00Z,2021,R,Final,Boston Red Sox,Philadelphia Phillies,4,3
2021-05-22,634081,2021-05-22T23:37:00Z,2021,R,Final,Tampa Bay Rays,Toronto Blue Jays,3,1
2021-05-22,633991,2021-05-23T00:40:00Z,2021,R,Final,Seattle Mariners,San Diego Padres,4,6
2021-05-22,634000,2021-05-23T02:07:00Z,2021,R,Final,Oakland Athletics,Los Angeles Angels,6,2
2021-05-23,633977,2021-05-23T17:05:00Z,2021,R,Final,Baltimore Orioles,Washington Nationals,5,6
2021-05-23,634004,2021-05-23T17:05:00Z,2021,R,Final,Boston Red Sox,Philadelphia Phillies,2,6
2021-05-23,634009,2021-05-23T17:05:00Z,2021,R,Final,Chicago White Sox,New York Yankees,4,5
2021-05-23,633975,2021-05-23T17:07:00Z,2021,R,Final,Tampa Bay Rays,Toronto Blue Jays,6,4
2021-05-23,634007,2021-05-23T17:10:00Z,2021,R,Final,Minnesota Twins,Cleveland Indians,8,5
2021-05-23,633998,2021-05-23T17:10:00Z,2021,R,Final,New York Mets,Miami Marlins,1,5
2021-05-23,633989,2021-05-23T17:10:00Z,2021,R,Final,Milwaukee Brewers,Cincinnati Reds,9,4
2021-05-23,634060,2021-05-23T17:20:00Z,2021,R,Final,Pittsburgh Pirates,Atlanta Braves,1,7
2021-05-23,634002,2021-05-23T18:10:00Z,2021,R,Final,Detroit Tigers,Kansas City Royals,2,3
2021-05-23,634025,2021-05-23T18:35:00Z,2021,R,Final,Houston Astros,Texas Rangers,2,3
2021-05-23,633995,2021-05-23T19:10:00Z,2021,R,Final,Arizona Diamondbacks,Colorado Rockies,3,4
2021-05-23,633980,2021-05-23T20:05:00Z,2021,R,Final,Los Angeles Dodgers,San Francisco Giants,11,5
2021-05-23,633985,2021-05-23T20:07:00Z,2021,R,Final,Oakland Athletics,Los Angeles Angels,5,6
2021-05-23,633996,2021-05-23T20:10:00Z,2021,R,Final,Seattle Mariners,San Diego Padres,2,9
2021-05-23,633973,2021-05-23T23:08:00Z,2021,R,Final,Chicago Cubs,St. Louis Cardinals,2,1
2021-05-24,633963,2021-05-24T17:07:00Z,2021,R,Final,Tampa Bay Rays,Toronto Blue Jays,14,8
2021-05-24,633976,2021-05-24T22:40:00Z,2021,R,Final,Philadelphia Phillies,Miami Marlins,6,9
2021-05-24,633981,2021-05-24T23:10:00Z,2021,R,Final,Cleveland Indians,Detroit Tigers,6,5
2021-05-24,634056,2021-05-24T23:10:00Z,2021,R,Final,Colorado Rockies,New York Mets,3,2
2021-05-24,633982,2021-05-24T23:40:00Z,2021,R,Final,Baltimore Orioles,Minnesota Twins,3,8
2021-05-24,633992,2021-05-24T23:40:00Z,2021,R,Final,San Diego Padres,Milwaukee Brewers,3,5
2021-05-24,633994,2021-05-25T00:10:00Z,2021,R,Final,St. Louis Cardinals,Chicago White Sox,1,5
2021-05-24,633955,2021-05-25T01:40:00Z,2021,R,Final,Seattle Mariners,Oakland Athletics,4,2
2021-05-25,633941,2021-05-25T22:35:00Z,2021,R,Final,Chicago Cubs,Pittsburgh Pirates,4,3
2021-05-25,633969,2021-05-25T22:40:00Z,2021,R,Final,Philadelphia Phillies,Miami Marlins,2,0
2021-05-25,633965,2021-05-25T23:05:00Z,2021,R,Final,Cincinnati Reds,Washington Nationals,2,1
2021-05-25,633956,2021-05-25T23:05:00Z,2021,R,Final,Toronto Blue Jays,New York Yankees,6,2
2021-05-25,633970,2021-05-25T23:10:00Z,2021,R,Final,Cleveland Indians,Detroit Tigers,4,1
2021-05-25,634023,2021-05-25T23:10:00Z,2021,R,Final,Colorado Rockies,New York Mets,1,3
2021-05-25,633990,2021-05-25T23:10:00Z,2021,R,Final,Kansas City Royals,Tampa Bay Rays,2,1
2021-05-25,633958,2021-05-25T23:10:00Z,2021,R,Final,Atlanta Braves,Boston Red Sox,3,1
2021-05-25,634048,2021-05-25T23:40:00Z,2021,R,Final,Baltimore Orioles,Minnesota Twins,4,7
2021-05-25,633962,2021-05-25T23:40:00Z,2021,R,Final,San Diego Padres,Milwaukee Brewers,7,1
2021-05-25,633953,2021-05-26T00:10:00Z,2021,R,Final,Los Angeles Dodgers,Houston Astros,9,2
2021-05-25,633951,2021-05-26T00:10:00Z,2021,R,Final,St. Louis Cardinals,Chicago White Sox,3,8
2021-05-25,633972,2021-05-26T01:38:00Z,2021,R,Final,Texas Rangers,Los Angeles Angels,5,11
2021-05-25,633945,2021-05-26T01:40:00Z,2021,R,Final,Seattle Mariners,Oakland Athletics,4,3
2021-05-25,633979,2021-05-26T01:40:00Z,2021,R,Final,San Francisco Giants,Arizona Diamondbacks,8,0
2021-05-26,633928,2021-05-26T17:10:00Z,2021,R,Final,Baltimore Orioles,Minnesota Twins,2,3
2021-05-26,633971,2021-05-26T18:10:00Z,2021,R,Final,St. Louis Cardinals,Chicago White Sox,4,0
2021-05-26,634074,2021-05-26T19:37:00Z,2021,R,Final,Seattle Mariners,Oakland Athletics,3,6
2021-05-26,633940,2021-05-26T20:07:00Z,2021,R,Final,Texas Rangers,Los Angeles Angels,8,9
2021-05-26,633967,2021-05-26T22:35:00Z,2021,R,Final,Chicago Cubs,Pittsburgh Pirates,4,1
2021-05-26,633901,2021-05-26T22:40:00Z,2021,R,Final,Philadelphia Phillies,Miami Marlins,2,4
2021-05-26,633890,2021-05-26T23:05:00Z,2021,R,Final,Cincinnati Reds,Washington Nationals,3,5
2021-05-26,633986,2021-05-26T23:10:00Z,2021,R,Final,Cleveland Indians,Detroit Tigers,0,1
2021-05-26,634064,2021-05-26T23:10:00Z,2021,R,Final,Kansas City Royals,Tampa Bay Rays,1,2
2021-05-26,633993,2021-05-26T23:10:00Z,2021,R,Final,Atlanta Braves,Boston Red Sox,5,9
2021-05-26,634021,2021-05-26T23:40:00Z,2021,R,Final,Los Angeles Dodgers,Houston Astros,2,5
2021-05-26,633927,2021-05-26T23:40:00Z,2021,R,Final,San Diego Padres,Milwaukee Brewers,2,1
2021-05-26,633939,2021-05-27T01:40:00Z,2021,R,Final,San Francisco Giants,Arizona Diamondbacks,5,4
2021-05-26,633910,2021-05-26T23:05:00Z,2021,R,Postponed,Toronto Blue Jays,New York Yankees,,
2021-05-26,633912,2021-05-26T23:10:00Z,2021,R,Postponed,Colorado Rockies,New York Mets,,
2021-05-27,633922,2021-05-27T16:10:00Z,2021,R,Final,Colorado Rockies,New York Mets,0,1
2021-05-27,633912,2021-05-27T16:15:00Z,2021,R,Final,Colorado Rockies,New York Mets,2,4
2021-05-27,633957,2021-05-27T16:10:00Z,2021,R,Final,Philadelphia Phillies,Miami Marlins,3,2
2021-05-27,633888,2021-05-27T16:35:00Z,2021,R,Final,Chicago Cubs,Pittsburgh Pirates,5,3
2021-05-27,633943,2021-05-27T17:10:00Z,2021,R,Final,Cleveland Indians,Detroit Tigers,5,2
2021-05-27,633937,2021-05-27T17:10:00Z,2021,R,Final,San Diego Padres,Milwaukee Brewers,5,6
2021-05-27,633890,2021-05-27T18:05:00Z,2021,R,Final,Cincinnati Reds,Washington Nationals,3,5
2021-05-27,633915,2021-05-27T19:10:00Z,2021,R,Final,Kansas City Royals,Tampa Bay Rays,2,7
2021-05-27,633974,2021-05-27T20:05:00Z,2021,R,Final,Toronto Blue Jays,New York Yankees,2,0
2021-05-27,633910,2021-05-27T20:10:00Z,2021,R,Final,Toronto Blue Jays,New York Yankees,3,5
2021-05-27,634003,2021-05-27T23:00:00Z,2021,R,Final,Cincinnati Reds,Washington Nationals,3,0
2021-05-27,633924,2021-05-28T00:10:00Z,2021,R,Final,Baltimore Orioles,Chicago White Sox,1,5
2021-05-27,633964,2021-05-28T01:40:00Z,2021,R,Final,Los Angeles Angels,Oakland Athletics,0,5
2021-05-27,633914,2021-05-28T01:40:00Z,2021,R,Final,St. Louis Cardinals,Arizona Diamondbacks,5,4
2021-05-27,633930,2021-05-28T02:10:00Z,2021,R,Final,San Francisco Giants,Los Angeles Dodgers,3,4
