query,display_name,latitude,longitude,type,importance
Seoul City Hall,"서울특별시청, 110, 세종대로, 태평로1가, 명동, 중구, 서울특별시, 04524, 대한민국",37.5667893,126.9784204,townhall,0.42336934103650703
Gyeongbokgung,"경복궁, 청운효자동, 종로구, 서울특별시, 03045, 대한민국",37.5797540,126.9766818,park,0.4950112988463731
N Seoul Tower,"N서울타워 기프트샵, 105, 남산공원길, 예장동, 필동, 중구, 서울특별시, 04340, 대한민국",37.5512700,126.9882805,gift,7.29800869763793e-05
Dongdaemun Design Plaza,"동대문디자인플라자, 281, 을지로, 동대문패션타운, 을지로7가, 광희동, 중구, 서울특별시, 04566, 대한민국",37.5670686,127.0098990,public,7.29800869763793e-05
COEX Seoul,"코엑스, 영동대로, 삼성동, 삼성1동, 강남구, 서울특별시, 06164, 대한민국",37.5118733,127.0591105,exhibition_centre,0.37898700054830464
Hongdae Seoul,"애니메이트 홍대점, 경의선 숲길, 동교동, 서교동, 마포구, 서울특별시, 04052, 대한민국",37.5579200,126.9261350,anime,0.5348842441829486
Gangnam Station,"강남역10번출구, 강남대로, 서초4동, 서초구, 서울특별시, 06614, 대한민국",37.5000559,127.0263524,bus_stop,7.29800869763793e-05
Lotte World Tower,"롯데월드타워, 올림픽로, 신천동, 잠실6동, 송파구, 서울특별시, 05551, 대한민국",37.5125537,127.1026790,attraction,7.29800869763793e-05
National Museum of Korea,"국립중앙박물관, 137, 서빙고로, 용산동6가, 서빙고동, 용산구, 서울특별시, 04383, 대한민국",37.5239530,126.9803196,museum,0.4770418792422841
Seoul Forest,"서울숲, 왕십리로, 성수동1가, 성수1가1동, 성동구, 서울특별시, 04778, 대한민국",37.5435916,127.0447397,station,0.40082154709367696
