location,latitude,longitude,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,wind_speed_10m_max
Seoul,37.57469,126.96,2021-05-18,22.2,12.1,15.8,0.0,17.3
Seoul,37.57469,126.96,2021-05-19,23.5,10.9,17.3,0.0,14.7
Seoul,37.57469,126.96,2021-05-20,22.2,13.9,16.9,11.8,18.1
Seoul,37.57469,126.96,2021-05-21,18.6,13.6,15.2,4.0,16.8
Seoul,37.57469,126.96,2021-05-22,22.0,11.1,16.0,0.0,20.8
Seoul,37.57469,126.96,2021-05-23,22.6,11.6,16.8,0.0,12.6
Seoul,37.57469,126.96,2021-05-24,22.2,12.4,16.7,0.0,18.9
Seoul,37.57469,126.96,2021-05-25,17.3,11.1,13.7,8.7,29.8
Seoul,37.57469,126.96,2021-05-26,22.8,10.1,15.6,2.4,22.9
Seoul,37.57469,126.96,2021-05-27,18.1,11.8,15.2,11.0,25.7
Seoul,37.57469,126.96,2021-05-28,19.6,11.1,14.4,20.5,26.4
Seoul,37.57469,126.96,2021-05-29,19.0,11.6,15.1,1.2,16.6
Seoul,37.57469,126.96,2021-05-30,24.1,8.3,16.7,2.8,12.5
Seoul,37.57469,126.96,2021-05-31,22.2,15.5,18.6,14.6,10.0
Seoul,37.57469,126.96,2021-06-01,23.0,17.0,19.5,2.6,16.3
Seoul,37.57469,126.96,2021-06-02,27.6,14.1,20.8,0.0,13.5
Seoul,37.57469,126.96,2021-06-03,21.3,15.1,18.5,18.3,13.1
Seoul,37.57469,126.96,2021-06-04,20.6,12.1,16.7,0.2,21.3
Seoul,37.57469,126.96,2021-06-05,22.7,14.9,18.2,0.2,21.2
Seoul,37.57469,126.96,2021-06-06,26.4,15.6,20.4,0.0,14.6
Seoul,37.57469,126.96,2021-06-07,23.1,16.5,19.8,0.1,11.4
Seoul,37.57469,126.96,2021-06-08,25.0,18.0,21.4,0.4,9.4
Seoul,37.57469,126.96,2021-06-09,29.3,17.8,23.6,0.0,8.0
Seoul,37.57469,126.96,2021-06-10,28.2,19.6,22.8,6.6,20.5
Seoul,37.57469,126.96,2021-06-11,24.1,18.2,20.8,12.9,31.4
Seoul,37.57469,126.96,2021-06-12,28.1,17.4,22.0,0.0,12.6
Seoul,37.57469,126.96,2021-06-13,26.6,18.6,21.8,0.1,13.4
Seoul,37.57469,126.96,2021-06-14,27.5,17.7,21.6,0.1,10.6
Seoul,37.57469,126.96,2021-06-15,23.0,18.9,21.0,11.2,15.7
Seoul,37.57469,126.96,2021-06-16,27.0,19.1,22.4,0.0,23.7
Seoul,37.57469,126.96,2021-06-17,23.6,17.7,20.2,0.3,15.8
Seoul,37.57469,126.96,2021-06-18,22.1,18.0,19.6,7.1,22.4
Seoul,37.57469,126.96,2021-06-19,24.5,17.5,20.2,0.0,13.2
Seoul,37.57469,126.96,2021-06-20,26.4,14.8,20.5,0.6,25.2
Seoul,37.57469,126.96,2021-06-21,25.1,17.9,21.1,0.4,13.0
Seoul,37.57469,126.96,2021-06-22,25.8,17.8,21.3,0.5,12.9
Seoul,37.57469,126.96,2021-06-23,25.3,17.9,21.0,0.8,11.9
Seoul,37.57469,126.96,2021-06-24,25.3,17.8,21.5,0.2,7.4
Seoul,37.57469,126.96,2021-06-25,25.8,17.5,21.4,0.5,14.1
Seoul,37.57469,126.96,2021-06-26,24.9,19.0,21.4,3.5,9.8
Seoul,37.57469,126.96,2021-06-27,27.2,18.6,23.0,0.5,9.8
Seoul,37.57469,126.96,2021-06-28,26.4,20.2,23.0,4.5,9.4
Seoul,37.57469,126.96,2021-06-29,27.0,20.2,23.2,2.9,9.1
Seoul,37.57469,126.96,2021-06-30,26.6,19.8,22.9,3.7,7.7
Seoul,37.57469,126.96,2021-07-01,29.2,20.1,24.4,0.1,11.8
Seoul,37.57469,126.96,2021-07-02,29.8,21.8,25.3,0.0,11.9
Seoul,37.57469,126.96,2021-07-03,26.6,20.2,22.6,37.0,28.4
Seoul,37.57469,126.96,2021-07-04,24.4,19.6,21.9,26.0,24.5
Seoul,37.57469,126.96,2021-07-05,25.1,19.4,22.0,0.0,13.3
Seoul,37.57469,126.96,2021-07-06,28.1,18.9,23.4,0.1,10.9
Seoul,37.57469,126.96,2021-07-07,28.1,21.9,24.6,2.8,12.3
Seoul,37.57469,126.96,2021-07-08,28.7,22.0,24.5,12.2,9.4
Seoul,37.57469,126.96,2021-07-09,26.9,20.8,23.4,3.2,13.0
Seoul,37.57469,126.96,2021-07-10,27.4,20.5,23.4,10.4,16.1
Seoul,37.57469,126.96,2021-07-11,27.2,21.5,24.0,7.9,20.9
Seoul,37.57469,126.96,2021-07-12,30.9,22.8,26.6,1.1,10.1
Seoul,37.57469,126.96,2021-07-13,32.1,24.1,27.5,0.1,15.1
Seoul,37.57469,126.96,2021-07-14,31.5,24.9,27.8,1.2,15.5
Seoul,37.57469,126.96,2021-07-15,31.2,23.9,27.0,7.1,9.2
Seoul,37.57469,126.96,2021-07-16,31.4,23.4,26.5,9.7,14.6
Seoul,37.57469,126.96,2021-07-17,29.2,23.5,26.1,1.1,11.9
Seoul,37.57469,126.96,2021-07-18,31.3,23.7,27.2,0.4,10.0
Seoul,37.57469,126.96,2021-07-19,29.2,23.8,25.9,4.0,10.4
Seoul,37.57469,126.96,2021-07-20,30.9,23.5,26.9,1.2,8.3
Seoul,37.57469,126.96,2021-07-21,33.3,24.2,28.9,0.0,9.0
Seoul,37.57469,126.96,2021-07-22,33.4,24.0,28.7,0.0,9.0
Seoul,37.57469,126.96,2021-07-23,33.2,24.3,28.7,0.0,7.9
Seoul,37.57469,126.96,2021-07-24,34.0,25.3,29.4,0.0,9.3
Seoul,37.57469,126.96,2021-07-25,33.8,25.0,29.4,0.0,12.5
Seoul,37.57469,126.96,2021-07-26,34.3,24.9,29.3,0.0,16.6
Seoul,37.57469,126.96,2021-07-27,33.7,25.8,29.6,0.2,12.3
Seoul,37.57469,126.96,2021-07-28,32.8,25.6,29.1,0.5,11.7
Seoul,37.57469,126.96,2021-07-29,32.2,25.5,28.4,0.1,15.6
Seoul,37.57469,126.96,2021-07-30,35.0,24.8,28.9,0.0,19.5
Seoul,37.57469,126.96,2021-07-31,32.3,25.1,28.3,3.6,14.8
Seoul,37.57469,126.96,2021-08-01,27.3,24.8,26.1,31.1,7.4
Seoul,37.57469,126.96,2021-08-02,28.1,23.5,25.4,9.9,11.0
Seoul,37.57469,126.96,2021-08-03,29.5,22.5,26.1,1.9,10.5
Seoul,37.57469,126.96,2021-08-04,30.6,24.2,26.8,2.1,15.6
Seoul,37.57469,126.96,2021-08-05,31.5,23.2,27.3,0.5,11.5
Seoul,37.57469,126.96,2021-08-06,31.1,24.0,26.6,4.7,13.5
Seoul,37.57469,126.96,2021-08-07,30.5,21.5,26.1,0.0,10.2
Seoul,37.57469,126.96,2021-08-08,30.2,22.0,25.8,2.0,13.4
Seoul,37.57469,126.96,2021-08-09,31.4,22.8,27.0,0.1,15.5
Seoul,37.57469,126.96,2021-08-10,29.9,22.5,26.0,1.9,16.3
Seoul,37.57469,126.96,2021-08-11,30.1,22.5,25.8,0.0,12.4
Seoul,37.57469,126.96,2021-08-12,30.1,21.5,26.0,0.1,10.3
Seoul,37.57469,126.96,2021-08-13,29.2,22.5,26.0,0.0,11.6
Seoul,37.57469,126.96,2021-08-14,28.8,22.3,25.2,0.5,21.2
Seoul,37.57469,126.96,2021-08-15,30.2,20.8,25.6,0.0,13.8
Seoul,37.57469,126.96,2021-08-16,30.4,21.2,25.9,0.4,13.1
Seoul,37.57469,126.96,2021-08-17,30.5,21.4,25.3,1.7,16.5
Seoul,37.57469,126.96,2021-08-18,29.9,20.0,24.2,4.4,18.4
Seoul,37.57469,126.96,2021-08-19,29.2,20.3,24.9,0.0,16.0
Seoul,37.57469,126.96,2021-08-20,29.2,21.5,25.6,2.6,14.3
Seoul,37.57469,126.96,2021-08-21,26.2,21.6,23.7,48.9,41.3
Seoul,37.57469,126.96,2021-08-22,26.4,21.6,23.5,1.9,18.6
Seoul,37.57469,126.96,2021-08-23,24.3,19.9,21.7,33.0,15.8
Seoul,37.57469,126.96,2021-08-24,27.4,20.5,23.2,47.2,26.0
Seoul,37.57469,126.96,2021-08-25,27.3,21.6,24.0,5.1,10.9
Seoul,37.57469,126.96,2021-08-26,28.4,19.5,23.9,0.5,25.7
Seoul,37.57469,126.96,2021-08-27,24.1,19.0,22.2,0.8,10.2
Seoul,37.57469,126.96,2021-08-28,26.1,19.0,22.0,0.0,16.2
Seoul,37.57469,126.96,2021-08-29,24.7,20.4,22.3,7.1,12.4
Seoul,37.57469,126.96,2021-08-30,25.6,19.9,22.3,0.0,9.8
Seoul,37.57469,126.96,2021-08-31,22.2,18.5,20.6,76.2,16.6
Seoul,37.57469,126.96,2021-09-01,23.2,18.3,20.8,58.1,23.9
Seoul,37.57469,126.96,2021-09-02,24.5,19.8,21.7,0.0,13.3
Seoul,37.57469,126.96,2021-09-03,26.7,18.6,22.4,0.1,16.0
Seoul,37.57469,126.96,2021-09-04,26.1,16.8,21.4,0.0,18.7
Seoul,37.57469,126.96,2021-09-05,25.9,17.3,21.4,0.1,18.1
Seoul,37.57469,126.96,2021-09-06,24.3,18.5,20.7,16.5,19.4
Seoul,37.57469,126.96,2021-09-07,23.1,18.9,20.5,35.9,22.4
Seoul,37.57469,126.96,2021-09-08,25.1,17.9,20.9,0.3,16.9
Seoul,37.57469,126.96,2021-09-09,26.5,16.8,21.2,0.0,7.6
Seoul,37.57469,126.96,2021-09-10,26.1,18.3,21.7,0.7,12.9
Seoul,37.57469,126.96,2021-09-11,26.5,17.7,21.8,0.0,12.2
