district,wikidata_id,population,area_km2,population_density_per_km2,source
강남구,Q20398,546291,39.55,13812.7,Wikidata SPARQL P1082/P2046
강동구,Q50348,465958,24.587,18951.4,Wikidata SPARQL P1082/P2046
강북구,Q50349,465958,23.6,19744.0,Wikidata SPARQL P1082/P2046
강서구,Q50192,546938,41.4,13211.1,Wikidata SPARQL P1082/P2046
관악구,Q50353,502089,29.57,16979.7,Wikidata SPARQL P1082/P2046
광진구,Q50355,368021,23.92,15385.5,Wikidata SPARQL P1082/P2046
구로구,Q50356,417339,20.12,20742.5,Wikidata SPARQL P1082/P2046
금천구,Q50359,242510,13.01,18640.3,Wikidata SPARQL P1082/P2046
노원구,Q50368,587248,35.44,16570.2,Wikidata SPARQL P1082/P2046
도봉구,Q50374,348625,20.8,16760.8,Wikidata SPARQL P1082/P2046
동대문구,Q50382,364787,14.22,25653.1,Wikidata SPARQL P1082/P2046
동작구,Q50385,397317,16.35,24300.7,Wikidata SPARQL P1082/P2046
마포구,Q50388,371890,23.87,15579.8,Wikidata SPARQL P1082/P2046
서대문구,Q50408,313814,17.61,17820.2,Wikidata SPARQL P1082/P2046
서초구,Q20395,408098,47.14,8657.1,Wikidata SPARQL P1082/P2046
성동구,Q50411,296135,16.85,17574.8,Wikidata SPARQL P1082/P2046
성북구,Q50412,457570,24.57,18623.1,Wikidata SPARQL P1082/P2046
송파구,Q50415,661515,33.89,19519.5,Wikidata SPARQL P1082/P2046
양천구,Q50420,469434,17.4,26979.0,Wikidata SPARQL P1082/P2046
영등포구,Q50190,396243,24.56,16133.7,Wikidata SPARQL P1082/P2046
용산구,Q50429,231685,21.87,10593.7,Wikidata SPARQL P1082/P2046
은평구,Q50432,466968,29.7,15722.8,Wikidata SPARQL P1082/P2046
종로구,Q36929,139497,23.91,5834.3,Wikidata SPARQL P1082/P2046
중구,Q50441,128160,9.96,12867.5,Wikidata SPARQL P1082/P2046
중랑구,Q50444,403105,18.5,21789.5,Wikidata SPARQL P1082/P2046
